,index,ML-MSE,ML-Corr,ML-R2
122,"['DTB3', 'WM2NS_chg12']",0.047789142459805235,0.9827567097677571,0.9545753968014987
123,"['DTB3', 'GDP_chg12']",0.02111139154449552,0.9957855097880018,0.9799331702868809
124,"['DTB3', 'USEPUINDXD_chg12']",0.019874178901123054,0.996013746008618,0.981109167396363
125,"['DTB3', 'WILL5000INDFC_chg12']",0.019966258136958733,0.9960112939606759,0.9810216441110441
126,"['DTB3', 'DTB3_chg']",0.019853311319644688,0.9959994791545826,0.9811290024793876
127,"['DTB3', 'UMCSENT_chg']",0.021429497072727333,0.9951311257057339,0.9796308041708256
128,"['DTB3', 'TEDRATE_chg']",0.02413770294730727,0.9940211477007466,0.9770565964972706
129,"['DTB3', 'BAAFF_chg']",0.019748203957027366,0.9959941237336107,0.9812289092781789
130,"['DTB3', 'TCU_chg']",0.021221984889141114,0.9955387390620184,0.9798280489447025
131,"['DTB3', 'AHETPI_chg']",0.04043797914747217,0.9887665515922024,0.9615628349374931
132,"['DTB3', 'AWHNONAG_chg']",0.01985841214260334,0.9959948231250818,0.9811241540379435
133,"['DTB3', 'PPIACO_chg']",0.020242993956295176,0.9953292912821302,0.9807586007891276
134,"['DTB3', 'DFF_chg']",0.01970669201830222,0.9960001738734938,0.9812683672648161
135,"['DTB3', 'MICH_chg']",0.019848814202738464,0.9960135580866973,0.9811332770853021
136,"['DTB3', 'VIXCLS_chg']",0.020366167774100018,0.9958053201867191,0.9806415214378306
137,"['DTB3', 'WILL5000INDFC_chg']",0.020626268441898857,0.9957558388500078,0.9803942901836527
138,"['DTB3', 'DGS3_chg']",0.024219682985571648,0.9944656086249327,0.9769786727154934
139,"['DTB3', 'DEXCHUS_chg']",0.019845812635124544,0.9960147092631172,0.9811361301395904
140,"['DTB3', 'DEXJPUS_chg']",0.019891944019662457,0.99608835430737,0.9810922812707937
141,"['PCEND', 'PCEDG']",3.150296581425287,-0.6416793163910682,-1.9944243567291262
142,"['PCEND', 'T10Y3M']",1.7239617192197327,0.2453108475560919,-0.63866252864504
143,"['PCEND', 'UMCSENT']",3.8983265556929485,-0.3447704652531823,-2.7054428645475683
144,"['PCEND', 'UNRATE']",2.2134959515108594,0.3132493068169531,-1.1039752986452664
145,"['PCEND', 'TEDRATE']",6.10486834550862,-0.49382121918838107,-4.802808083594779
146,"['PCEND', 'BAAFF']",1.087374225063068,0.3817855409083364,-0.033572484446899864
147,"['PCEND', 'WM2NS']",269.3913830385705,-0.3304354609171297,-255.06227795183617
148,"['PCEND', 'CFNAI']",4.014534130655986,-0.4897116585672136,-2.8159006528578714
149,"['PCEND', 'TCU']",2.5044472961801585,0.34438631422364446,-1.380530781782244
150,"['PCEND', 'AHETPI']",7.233595419051443,-0.3409421605147523,-5.8756873359942645
151,"['PCEND', 'PCE']",7.838992256537193,-0.6308152066380524,-6.451129993153211
152,"['PCEND', 'AWHNONAG']",7.458480258178073,0.06508297511804158,-6.0894451909563605
153,"['PCEND', 'PPIACO']",4.645937562640988,-0.5132031628490362,-3.4160631349575237
154,"['PCEND', 'DFF']",0.017949108314535667,0.9928611576480804,0.9829389882097075
155,"['PCEND', 'MICH']",3.333666337645444,-0.5433696383595789,-2.1687212364421775
156,"['PCEND', 'VIXCLS']",3.833505647081529,-0.4836682983016363,-2.643829202927325
157,"['PCEND', 'WILL5000INDFC']",50.257253173982946,0.2788869364120631,-46.77059528102903
158,"['PCEND', 'USEPUINDXD']",4.329336085696072,-0.4429686544232035,-3.115126651856194
159,"['PCEND', 'DGS3']",1.293414530280079,0.8773150758221888,-0.2294182064171737
160,"['PCEND', 'DEXCHUS']",4.522736644530443,-0.5188322533824803,-3.2989580242397594
161,"['PCEND', 'DEXJPUS']",1.8303146477024677,-0.23864357309691933,-0.739753264462075
162,"['PCEND', 'GDP']",5.9466827020038515,-0.6255673336006554,-4.652449242275387
163,"['PCEND', 'PCEND_chg12']",3.404322397348416,-0.5176763134949558,-2.235881334120779
